fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-04-05,45635.45438126673,867247321783.443,25474063861.60569,3422.9698837547116,412944890807.9602,15114055501.97898,1.0008745206708878,82412689459.25401,59834020421.38003,446.6928276583855,75257138923.67526,2111671411.185174
2022-04-06,43198.77526936491,820983263462.4961,34113818641.77575,3171.371104498954,382808702033.7895,26109763334.73009,0.9997690801748393,82422893105.15454,79495709485.20483,420.5214175354114,70913339346.85448,2227804262.08252
2022-04-07,43515.15032279806,827032889944.6309,22960138784.304127,3232.834988999582,388867320187.2107,16149775914.530878,1.0002149312757802,82509660677.2317,56302450091.23148,437.09242241473214,73491424319.16377,1902419275.6903815
2022-04-08,42315.70972421807,804272478980.6077,24202906401.166885,3192.0250912893603,382662893229.3914,17523939555.353264,1.0008544368342465,82582177981.31122,58600559397.987625,421.46865244846873,70595674729.47571,1895964802.5659816
2022-04-09,42796.39747810973,812734148492.5116,13949535311.5313,3265.938067729151,392551461530.81824,9316769843.73387,1.0006291587185625,82608650898.85965,37078489713.303,426.92155320889725,71781324518.36812,1312491096.8495579
2022-04-10,42274.907370256085,803574629064.9272,14936318818.778025,3219.159553453764,388982079663.2629,10005373137.102016,1.0009235374761474,82714703437.73296,37485416838.87201,419.82285192759065,70798823665.38066,1230641841.8784754
2022-04-11,39603.965159284155,752680814425.1921,30168665078.21043,2992.7021064252435,360149250762.0514,21142997359.75918,1.0009510266137986,82634863680.08965,64848734795.277466,394.05470314772543,66255189769.71295,2139768656.2142828
2022-04-12,40205.67794073206,764314681923.3135,27804694935.48352,3038.209421996366,365661388410.7189,18977679663.55036,1.0015217695191903,82881751671.08333,62450044403.596436,414.5915061665852,69708186956.16621,1974498684.823981
2022-04-13,41205.16871904067,783560801481.9719,25453869985.971855,3121.399823462041,375767680796.0061,15452917855.24062,1.0015691778028522,82736682156.53658,52779464627.57896,423.54287679551277,71207307204.25941,1726755978.7743976
2022-04-14,39959.457069033735,759703443634.6515,22744792147.00975,3023.417211885316,363962080917.9128,15895586504.785799,1.0012285369494556,82795954521.31792,48379418415.34399,415.2804961631375,69824031691.95126,637543282.9959954
2022-04-15,40586.59730938673,771666602547.5923,22053774554.17729,3045.42807480128,366695398817.36127,12543243551.278517,1.0005182605276972,82766275585.9142,39858532327.79374,417.5653550897319,70113766960.73828,1092656125.8656168
2022-04-16,40450.37930543977,770439827829.2395,15777789210.238447,3066.3580141449797,369787917596.8767,9063939048.316748,1.0009584476884474,82797938661.11595,31915932062.307056,417.7292561292627,70352696631.83182,960255591.9764392
2022-04-17,39739.11925622209,755627152747.4514,16627779441.567648,2995.719421019825,360748880962.95123,9543306566.22193,1.0008919375805128,82811298303.06853,35874456217.82452,407.52660227622914,68520314957.12335,887315102.6807246
2022-04-18,40833.5379650337,776463403746.4385,30617039399.980103,3061.8905711469047,368758484169.854,18188817400.079117,1.0007810191354598,82792973864.84837,62683460754.04553,416.9236775343864,70069289513.02328,1663405006.6422668
2022-04-19,41498.12244669832,789141783336.2104,22717772925.289574,3104.688447526111,373782979942.61957,13472639207.148006,0.9996658533214738,82787027489.10574,52203857295.402336,422.18168588996065,70963228669.50735,1684344617.8329713
